Name,Affiliation,Interests,Cited By,Profile URL
"C Sudakar, Sudakar Chandran","Department of Physics, IIT Madras","defect-structure property correlations, oxides, thin films, energy storage and conversion materials",5995,https://scholar.google.com/citations?hl=en&user=pss7hxgAAAAJ
Satyajit Roy,"Professor, Department of Mathematics, Indian Institute of Technology Madras","Convective Heat and Mass Transfer, Computational Fluid Dynamics",5968,https://scholar.google.com/citations?hl=en&user=13PN2mgAAAAJ
Kesavan Venkitasamy,Indian Institute of Technology Madras,"Asymmetric catalysis, Medicinal chemistry",5942,https://scholar.google.com/citations?hl=en&user=ppkkq78AAAAJ
Narayanan S,"Retired Professor of Mechanical Engineering and Applied Mechanics, IIT Madras","Vibration, Acoustics, Random Vibration, Nonlinear Dynamics, Smart Structures",5911,https://scholar.google.com/citations?hl=en&user=51f2PX4AAAAJ
Pratyush Kumar,"Microsoft Research, IIT Madras","SysDL, NLP, AI for social good",5878,https://scholar.google.com/citations?hl=en&user=4pr87jAAAAAJ
Indumathi Nambi,Indian Institute of Technology Madras,"Environment, Water, Remediation, solid waste",5850,https://scholar.google.com/citations?hl=en&user=AuntPtQAAAAJ
C.Pandu Rangan,"Professor, Department of Computer Science and Engg, IIT-Madras, India.","Algorithms, Cryptology, Theoretical Computer Science",5812,https://scholar.google.com/citations?hl=en&user=begDaeQAAAAJ
Suresh Rayala,IIT Madras,Cancer Biology,5684,https://scholar.google.com/citations?hl=en&user=uizsn0EAAAAJ
Suraj Pandey,"IIT Madras,(Indian Institute of Technology Madras)",Artificial Intelligence,5679,https://scholar.google.com/citations?hl=en&user=WPhgmKcAAAAJ
TSChandra,"Professor  of Biotechnology ,Dept of Biotechnology ,IIT Madras , Chennai  India","Microbiology, biotechnology, millets, electrospinning",5636,https://scholar.google.com/citations?hl=en&user=olcYljIAAAAJ
Shanthi Pavan,"NT Alexander Institute-Chair Professor of Electrical Engineering, IIT Madras; Fellow, IEEE",analog mixed signal integrated circuit design,5591,https://scholar.google.com/citations?hl=en&user=9eb0wrwAAAAJ
Arockiarajan Arunachalakasi,"Professor, IIT Madras","Smart materials, Composites, Bio-materials",5487,https://scholar.google.com/citations?hl=en&user=-9DCDvgAAAAJ
LS Ganesh,"Professor (retired), Department of Management Studies, Indian Institute of Technology …","Systems Science and Philosophy, Decision Making, Project Management, Technology and Knowledge",5439,https://scholar.google.com/citations?hl=en&user=6jE55CEAAAAJ
Tapobrata Panda (T Panda),"Retired Professor of Chemical Engineering, Indian Institute of Technology Madras, India","Bioprocess Engineering, Biochemical Engineering, Bioprocess optimization",5395,https://scholar.google.com/citations?hl=en&user=wEmXlfQAAAAJ
Prakash M Maiya,Indian Institute of Technology,"refrigeration, Air conditioning, ventilation, metal hydrides, energy",5234,https://scholar.google.com/citations?hl=en&user=2AdnRAMAAAAJ
Suresh Kumar Govindarajan,"Professor (HAG) - Reservoir Simulation Laboratory, Petroleum Engineering Programme,   IIT …",Flow through Fractured Reservoirs  -  EOR …,5176,https://scholar.google.com/citations?hl=en&user=e7sOg_0AAAAJ
Vemuri Rama Krishna Murthy,Indian Institute of Technology Madras,"Dielectrics, Ferroelectrics, Multiferroics",5144,https://scholar.google.com/citations?hl=en&user=rllgEnUAAAAJ
Karthik Raman,"Professor, Department of Data Science and AI, Wadhwani School of Data Science and AI, IIT …","Computational Biology, Systems Biology, Synthetic Biology, Biological Networks, Metabolic Modelling",5111,https://scholar.google.com/citations?hl=en&user=qkn2yIIAAAAJ
S. Mohan,"Professor, Envvironmental and Water Resources Engineering, Indian Institute of Technology …","Reservoir Operation, Heavy Metal Removal, Municipal Solid Waste, Heavy Metal Adsorption, Leachate",5056,https://scholar.google.com/citations?hl=en&user=f_MK-gkAAAAJ
A Seshadri Sekhar,"Professor of Mechanical Engineering, IIT Madras","Rotor dynamics, Condition monitoring, Tribology and Vibrations",5052,https://scholar.google.com/citations?hl=en&user=ka_t0OgAAAAJ
Vallam Sundar,Indian Institute of Technology Madras,"Harbour, Coastal and Ocean Engineering",5030,https://scholar.google.com/citations?hl=en&user=BFgXPowAAAAJ
Ravi Sankar Kottada,Professor at Indian Institute of Technology Madras,"Creep, High-temperature Deformation, Additive Manufacturing, Superalloys, High Entropy Alloys",5027,https://scholar.google.com/citations?hl=en&user=Fw2eT30AAAAJ
Boby George,"Professor, Department of Electrical Engineering, IIT Madras","Sensors, Non‑contact Sensing, Sensor Interface Electronics, Biomedical Instrumentation",5020,https://scholar.google.com/citations?hl=en&user=iOmLCnkAAAAJ
Kothandaraman Ramanujam (RK Raman),"Professor, Indian Institute of Technology",Electrocatalyst for Energy Systems,5015,https://scholar.google.com/citations?hl=en&user=8MvVXi8AAAAJ
Lelitha Devi Vanajakshi,"Department of Civil Engineering, Indian Institute of Technology Madras","Traffic flow modeling, Intelligent Transportation Systems, Traffic operations",4977,https://scholar.google.com/citations?hl=en&user=NFQxp20AAAAJ
Nitin Muralidharan,Indian Institute of Technology Madras,"Materials Science, Energy Storage, Batteries, Cobalt-free, Mechano-Electrochemistry",4729,https://scholar.google.com/citations?hl=en&user=8riV1tIAAAAJ
V Srinivasa Chakravarthy,Indian Institute of Technology Madras,"Computational neuroscience, computational cardiology, pattern recognition...",4662,https://scholar.google.com/citations?hl=en&user=4PqxB3gAAAAJ
TJKamalanabhan,"Professor, Dept of Management studies, Indian Insitute of Technology Madras","Human Resource Management, Organisational Behaviour, Industrial Psychology",4588,https://scholar.google.com/citations?hl=en&user=UGbGgQgAAAAJ
Dillip Kumar Chand,"Professor of Chemistry, IIT Madras",Supramolecular Coordination Chemistry,4549,https://scholar.google.com/citations?hl=en&user=uSR69fkAAAAJ
Madivala G. Basavaraj,"Professor, Department of Chemical Engineering, IIT-Madras",Colloids and Interface Science,4532,https://scholar.google.com/citations?hl=en&user=iJI-8rkAAAAJ
Venkatachalam Subramanian,"Indian Institute of Technology, Madras","Microwave, Materials",4528,https://scholar.google.com/citations?hl=en&user=8WqfOY4AAAAJ
P Murugavel,"Professor of Department of Physics, Indian Institute of Technology Madras",Materials Physics,4500,https://scholar.google.com/citations?hl=en&user=kUO8BdMAAAAJ
KC Hari Kumar,"Professor of Metallurgical & Materials Engineering, IIT Madras","Materials Thermodynamics, Computational Materials Science, Physical Metallurgy, Extractive Metallurgy",4480,https://scholar.google.com/citations?hl=en&user=cDoas4sAAAAJ
Anju Chadha,"Professor of Bioorganic Chemistry, IITMadras","Biocatalysis and Enzyme Mechanisms, Biosensors, Microbial methods for value added products, Green Chemistry",4474,https://scholar.google.com/citations?hl=en&user=Qrx7m3YAAAAJ
Dr. CHIDAMBARAM M,Indian Institute of Technology Madras,Process Control,4450,https://scholar.google.com/citations?hl=en&user=XfIWI-EAAAAJ
Sumesh P Thampi,"Department of Chemical Engineering, Indian Institute of Technology Madras","Soft and active matter, Surfaces and interfaces, Complex fluids, Lattice Boltzmann simulations.",4423,https://scholar.google.com/citations?hl=en&user=PGXe1vkAAAAJ
Ramanathan Srinivasan,"Department of Chemical Engineering, Indian Institute of Technology - Madras, India",Electrochemistry,4413,https://scholar.google.com/citations?hl=en&user=gId5PLwAAAAJ
Natarajan Srinivasan T,Professor of Physics IIT Madras,Nanofibers physics education electronics …,4403,https://scholar.google.com/citations?hl=en&user=4kHkl2gAAAAJ
S. Ganesh Sundara Raman,"Professor, Dept. of Metall. Mater. Engg., IIT Madras, Chennai, India","Mechanical Properties, Fatigue, Fretting, Coatings, Thermal Spray Processing",4355,https://scholar.google.com/citations?hl=en&user=tV-5M0oAAAAJ
Gnanamoorthy R,"Department of Mechanical Engineering, Indian Institute of Technology Madras, Chennai …","Sustainable Materials & Engineering Design, Additive Manufacturing, Tribology, Fatigue and Fracture",4340,https://scholar.google.com/citations?hl=en&user=PRMqUOngfrgC
Arvind Kumar,IIT Madras,Surface acoustic wave device,4245,https://scholar.google.com/citations?hl=en&user=_mD2pjYAAAAJ
BN Rao,"Professor (HAG) of Civil Engineering, IIT Madras","Computational solid mechanics, finite element analysis, meshless analysis, computer-aided design, structural reliability",4188,https://scholar.google.com/citations?hl=en&user=gklEogwAAAAJ
BN Rao,Indian Institute of Technology Madras,"Computational mechanics, structural reliability, stochastic mechanics, structural engineering",4168,https://scholar.google.com/citations?hl=en&user=Vsw1ttMAAAAJ
Balaji Narasimhan,Indian Institute of Technology Madras,"Hydrological Modelling, GIS and remote sensing",4093,https://scholar.google.com/citations?hl=en&user=UHFAtUkAAAAJ
