Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index,vector_id
Deepak Fulwani,"Professor, Department  of Electrical Engineering, Indian Institute of Technology Jodhpur","Microgrids, Control of Power Converters, EVs., Control Theory",3082,https://scholar.google.com/citations?hl=en&user=oRR0udUAAAAJ,23,44,interest_16
Manish Narwaria,Associate Professor  IIT Jodhpur,"Multimedia signal processing, Statistical data analysis, Machine Learning",3055,https://scholar.google.com/citations?hl=en&user=Mp_-lEEAAAAJ,22,33,interest_17
Dr. Rahul Chhibber,"Professor at Indian Institute of Technology Rajasthan, Jodhpur","Manufacturing, Welding and Joining, Damage mechanics, Materials Processing",3018,https://scholar.google.com/citations?hl=en&user=kEo53oAAAAAJ,30,87,interest_18
Dr. Saurabh Nene,"Associate Professor, Indian Institute of Technology Jodhpur","High Temperature Alloys, Alloy Design, High Entropy Alloys, Additive Manufacturing",2895,https://scholar.google.com/citations?hl=en&user=GVAyebwAAAAJ,30,40,interest_19
Manoj Gupta,"Assistant Professor, Department of Electronics Engineering, IIT Jodhpur","THz communication, In-plane THz photonics, Metamaterials, Antenna Design, Ultrafast Devices",2872,https://scholar.google.com/citations?hl=en&user=58xx018AAAAJ,23,28,interest_20
Dr. M. Bala Murali Krishna,"Associate Professor,  Indian Institute of Technology Jodhpur","Graphene, Nonlinear Optics, Ultrafast Spectrosocpy, Terhertz spectroscopy and High harmonic",2635,https://scholar.google.com/citations?hl=en&user=qy5bs8QAAAAJ,19,25,interest_21
Naveen Kumar Tailor,"Assistant Professor, Indian Institute of Technology Jodhpur, India","Green Energy, Halide Perovskites, X-ray detectors, Carbon Capture, Fundamental Science",2417,https://scholar.google.com/citations?hl=en&user=NDEF15oAAAAJ,28,39,interest_22
Santosh Mogurampelly,"Associate Professor, Department of Physics, Indian Institute of Technology Jodhpur","Multiscale Modeling, Soft Matter Physics, Materials Science, Statistical Physics, Polymer Physics.",2071,https://scholar.google.com/citations?hl=en&user=UkqEItoAAAAJ,26,42,interest_23
Atul Kumar Sharma,"Assistant Professor, Department of Mechanical Engineering, IIT Jodhpur","Soft Active Materials, Nonlinear Solid Mechanics, Computational Mechanics, Wave Propagation",2018,https://scholar.google.com/citations?hl=en&user=FE7K1rAAAAAJ,29,47,interest_24
Harshit Agarwal,"Associate Professor, IIT Jodhpur","Machine Learning Augmented Compact …, Emerging Memories, Sub-2nm Devices, RF Circuits",2008,https://scholar.google.com/citations?hl=en&user=KwD4fX4AAAAJ,24,54,interest_25
