Name,Affiliation,Interests,Cited By,Profile URL
Krushna R Mavani,"Professor, Department of Physics, IIT Indore, India",Experimental Condensed Matter Physics,994.0,https://scholar.google.com/citations?hl=en&user=zruAZycAAAAJ
B Prathap Reddy,"Assistant Professor, IIT Indore","Multiphase machines, Power Electronics and Drives, Electric Vehicles, Machine Design, Chargers",965.0,https://scholar.google.com/citations?hl=en&user=UXq2Xi0AAAAJ
Debajyoti Sarkar,"Indian Institute of Technology, Indore","String theory, General relativity, Quantum field theory, Cosmology, Black holes",960.0,https://scholar.google.com/citations?hl=en&user=kYBb0GEAAAAJ
Aman khurana,"Assistant Professor, Department of Mechanical Engineering, IIT Indore","Soft robotics, Soft active materials, Nonlinear dynamics, Neural Networks",903.0,https://scholar.google.com/citations?hl=en&user=gR0fh7sAAAAJ
Sumit Gautam,Assistant Professor at Indian Institute of Technology Indore,"Simultaneous Wireless Information and …, Cooperative Relaying Systems, Multi-group Multicasting, Precoding",902.0,https://scholar.google.com/citations?hl=en&user=KuWT2NoAAAAJ
Mohd. Arshad,"Associate Professor, Department of Mathematics, Indian Institute of Technology Indore","Copula, Estimation Theory, Machine Learning, Data Science, Ranking and Selection",884.0,https://scholar.google.com/citations?hl=en&user=jHEBzUkAAAAJ
S Janakiraman,Assistant Professor at Indian Institute of Technology Indore,"Lithium, Sodium & Magnesium Ion Batteries, Composites, Thin Film Solid Sate Batteries",873.0,https://scholar.google.com/citations?hl=en&user=kL1lz88AAAAJ
Swadesh Kumar Sahoo,"Associate Professor, Discipline of Mathematics, Indian Institute of Technology Indore",Complex Variables and Hyperbolic Geometry,868.0,https://scholar.google.com/citations?hl=en&user=XQdx7i4AAAAJ
Pankaj Dey,Indian Institute of Technology Indore,"Stochastic Hydrology, Hydrological Processes, Hydroclimatology, Geohydrology",865.0,https://scholar.google.com/citations?hl=en&user=BSx-u3YAAAAJ
Dr. Abhishek Srivastava,"Department of MEMS, Indian Institute of Technology Indore","DSSCs and Perovskite Solar Cells, PE-catalysis, PV/T Spectral Splitters, Nanofluids",860.0,https://scholar.google.com/citations?hl=en&user=1MHEIQ0AAAAJ
Dr. Kazi Sabiruddin,"Professor, IIT Indore, India","Manufacturing, Surface Engineering, Coatings",854.0,https://scholar.google.com/citations?hl=en&user=ukVKN0wAAAAJ
Additi Roychowdhury,IIT Indore,,820.0,https://scholar.google.com/citations?hl=en&user=v-PU52UAAAAJ
Dr. Indrasen singh,"Indian Institute of Technology Indore, National University of Singapore, Indian Institute of …","Computational solid mechanics, Fracture Mechanics, Crystal Plasticity, Piezoelectric Materials, Metallic glasses",810.0,https://scholar.google.com/citations?hl=en&user=45XBn3wAAAAJ
Amrendra K. Singh,Indian Institute of Technology Indore,"Inorganic and Organometallic Chemistry, Catalysis, Computational Chemistry",808.0,https://scholar.google.com/citations?hl=en&user=__DfNJAAAAAJ
Prashant Kodgire,"Professor of Biosciences and Biomedical Engineering, IIT Indore","Molecular Biology, Molecular Immunology",798.0,https://scholar.google.com/citations?hl=en&user=P505PxoAAAAJ
Naveen Agrawal,"Assistant Professor, Chemical Engineering, IIT Indore","Computational Chemistry, Electrocatalysis, Bio-fuel",791.0,https://scholar.google.com/citations?hl=en&user=9gXxsQkAAAAJ
Naveen Agrawal,"Assistant Professor of Chemical Engineering, IIT Indore","Electrocatalysis, Computational Material Science",791.0,https://scholar.google.com/citations?hl=en&user=KnncQTQAAAAJ
Dr. Archana Chaudhary,Indian Institute of Technology Indore,"Nano materials, Catalysis, Single Source Molecular Precursors",775.0,https://scholar.google.com/citations?hl=en&user=xcgIhMkAAAAJ
Dr. Kamal Prakash,"Senior Project Associate, R&D IIT Indore","Porphyrin chemistry, Porous organic materials, Covalent organic frameworks, Material Chemistry",773.0,https://scholar.google.com/citations?hl=en&user=licrEI0AAAAJ
Vinod Kumar Singh,Indian Institute of Technology Indore,"CO2 capture and sequestration, Adsorption, CO2 based adsorption cooling system, Solid Adsorbents",771.0,https://scholar.google.com/citations?hl=en&user=nQM9leUAAAAJ
Dudekula Althaf Basha,"Indian Institute of Technology, Indore","Phase transformation behavior of materials, (S)TEM-imaging, in-situ TEM studies",765.0,https://scholar.google.com/citations?hl=en&user=KQosI6YAAAAJ
Ananthan S Dharan,"Indian Institute of Technology, Indore",AI/ML,750.0,https://scholar.google.com/citations?hl=en&user=gKk4cqUAAAAJ
Akshay Gaur,IIT Indore,"Material Science, Ceramics, Glass-ceramics, Polymer",743.0,https://scholar.google.com/citations?hl=en&user=ys0Fk8UAAAAJ
Priyank J. Sharma,"Assistant Professor, Department of Civil Engineering, Indian Institute of Technology Indore","Hydroclimatology, Compound Extremes, Streamflow Forecasting, Non-stationarity",733.0,https://scholar.google.com/citations?hl=en&user=ayxugJcAAAAJ
Girish Verma,IIT Indore,Additive Manufacturing and Machining,718.0,https://scholar.google.com/citations?hl=en&user=CamFS4wAAAAJ
Kapil Ahuja,"Professor of Computer Science & Engineering, IIT Indore","Mathematical Data Science, Mathematical Simulation",716.0,https://scholar.google.com/citations?hl=en&user=l2ySGVcAAAAJ
Mukul Bhattacharya,"Assistant Professor (Grade-I) at DAASE, IIT Indore","High-energy phenomena, Radio transients, Binary mergers+GW emission, UHECR sources & properties",708.0,https://scholar.google.com/citations?hl=en&user=HBjGLL0AAAAJ
Sanjay Kumar Verma,Indian Institute of Technology Indore,"Organometallics, Mesoionic Carbene, Dithiocarbamates, Co-ordination Chemistry",649.0,https://scholar.google.com/citations?hl=en&user=TkP8O9oAAAAJ
Dr. Puspraj Singh Chauhan,"Indian Institute of Technology, Indore","wireless communication, digital communication, cognitive radio, channel modelling",645.0,https://scholar.google.com/citations?hl=en&user=pIQxxRMAAAAJ
amol shukla,"Indian Institute of Technology, Indore","Wastewater treatment, resource recovery from waste, Fecal sludge and septage management, wastewater treatment using constructed …",637.0,https://scholar.google.com/citations?hl=en&user=aOxk1aQAAAAJ
Kalandi Charan Pradhan,"Assistant Professor, IIT Indore","Development Economics, Labour Economics, Migration Studies, Sustainable Development, Socio-Economic",629.0,https://scholar.google.com/citations?hl=en&user=MqWDz0AAAAAJ
Dr. Manish Kumar Tiwari,"Translational Research Fellow,Department of MEMS, Indian Institute of Technology (IIT) …","Gas sensors, Solar Cell, Sodium-ion Batteries, Materials Science, Nanomaterials",623.0,https://scholar.google.com/citations?hl=en&user=8g1UO7gAAAAJ
Mritunjay Verma,Indian Institute of Technology Indore,"String Theory, Gravity, Quantum Field Theory",613.0,https://scholar.google.com/citations?hl=en&user=nwF6OnYAAAAJ
Subhra Mazumdar,Assistant Professor at IIT Indore,"Blockchain, Privacy and Security",610.0,https://scholar.google.com/citations?hl=en&user=uoWVp-QAAAAJ
Manoneeta Chakraborty,IIT Indore,"Neutron star, Pulsar, Black hole, Multi-wavelength astronomy, High-energy astrophysics",596.0,https://scholar.google.com/citations?hl=en&user=ThX5NyEAAAAJ
Dr. Faizal Khan,HKUST & IIT Indore,Organic Materials Chemistry,591.0,https://scholar.google.com/citations?hl=en&user=8SXWQSEAAAAJ
Ranjeet Kumar,Indian Institute of Technology Indore,"Process Systems Engineering, Optimization, Advanced Control, AI/ML for ChemE, and Energy Systems",583.0,https://scholar.google.com/citations?hl=en&user=Nd-2JvEAAAAJ
