Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
KRISHNAN MURUGESAN,"Professor Department of Mechanical & Industrial Engineering, IIT Roorkee, Roorkee …","Heat and moisture transport through saturated …, Computational fluid dynamics, Thermodynamics, Heat t",3918,https://scholar.google.com/citations?hl=en&user=nxqYrpwAAAAJ,32,69
AJANTA GOSWAMI,"Professor, Indian Institute of Technology Roorkee & Indian Institute of Remote Sensing","Geology, Remote Sensing, Glaciology, Crysophere, Geohazards",3868,https://scholar.google.com/citations?hl=en&user=qHBOuaYAAAAJ,35,59
Kamal Jain,"Rtd. HAG Professor, Department of Civil Engineering & CoEDMM, IIT Roorkee","Photogrammetry, GIS, Lidar, UAV Remote Sensing, GeoAI",3825,https://scholar.google.com/citations?hl=en&user=cpV83aoAAAAJ,34,96
Pooja Garg,"Professor,Department of Humanities and Social Sciences,Indian Institute of Technology","Organizational Behavior, Positive Psychology, Human Resource Management",3795,https://scholar.google.com/citations?hl=en&user=xrOSzGsAAAAJ,26,40
Anil Kumar Gupta,"Professor - WRDM, IIT Roorkee, India","DRR and Adaptation Policy Strategies, Environment & Health, Safety Management, Capacity Building",3762,https://scholar.google.com/citations?hl=en&user=hDIVB4AAAAAJ,32,77
Pradeep Bhargava,"Indian Institute of Technology, Roorkee","Finite Element Analysis, Nonlinear Computational Mechanics, Structural Fire Engineering",3728,https://scholar.google.com/citations?hl=en&user=wLN6hkAAAAAJ,34,90
Sanjeev Kumar Prajapati,"Associate Professor, Department of Hydro and Renewable Energy (HRED), IIT Roorkee","Biogas, Biochemical Eng., Biochar, Environmental Bioprocess, Wastewater",3693,https://scholar.google.com/citations?hl=en&user=Ym0vNL4AAAAJ,34,64
ML Kansal,"Professor (HAG) and Ex-NEEPCO Chair & Head, WRD&M, IIT Roorkee","Water Resources Development & …, Urban water Systems, Hydropower",3657,https://scholar.google.com/citations?hl=en&user=dg4NwCEAAAAJ,27,63
GD Varma,"Department of Physics, Indian Institute of Technology Roorkee",Condensed Matter Physics,3643,https://scholar.google.com/citations?hl=en&user=dbLO1P8AAAAJ,30,75
Prof. RP Singh,"Department of Biotechnology, Indian Institute of Technology Roorkee, India","Enzyme Engineering, Biofuels, Biopolymers, Nanobiotechnology",3622,https://scholar.google.com/citations?hl=en&user=YpTKF24AAAAJ,34,45
Akhilesh Mohan,"Dept. of Electronics and Communication Engg., Indian Institute of Technology Roorkee","UWB Antenna, MIMO Antenna, Filters, Metamaterial",3601,https://scholar.google.com/citations?hl=en&user=6QhsxmcAAAAJ,27,68
Nikhil Dhawan,Indian Institute of Technology,"Mineral Processing, Extractive Metallurgy, Electronic waste recycling",3597,https://scholar.google.com/citations?hl=en&user=GAUjL0gAAAAJ,31,81
Shailly Tomar,IIT Roorkee,"Molecular Virology, Biochemistry, Structural biology",3588,https://scholar.google.com/citations?hl=en&user=IA8mfhwAAAAJ,34,74
Muniappan Sankar,"Professor, Department of Chemistry, IIT Roorkee, Roorkee-247667, India",Porphyrin Chemistry,3566,https://scholar.google.com/citations?hl=en&user=lWh_w7YAAAAJ,31,104
Ranjana Pathania,"Professor, Department of Biotechnology , Indian Institute of Technology Roorkee, India","small RNA in Acinetobacter baumannii …, pathogenesis and antibiotic resistance, novel antibacterial drug discovery and",3480,https://scholar.google.com/citations?hl=en&user=bnHB5kwAAAAJ,28,39
Dr. PRASHANT KUMAR,Phd Scholar Indian Institute of Technology Roorkee,"Machine learning, Data Mining Computer Vision",3450,https://scholar.google.com/citations?hl=en&user=9G6duMEAAAAJ,24,108
Sandeep Singh,Indian Institute of Technology Roorkee,"Geochronology, Himalayan Tectonics, Igneous Petrology, Sr Isotopes.",3443,https://scholar.google.com/citations?hl=en&user=LxU3I5cAAAAJ,30,55
Rathinam Anbalagan,Indian Institute of Technology Roorkee,"Engineering Geology, Rock Mechanics, Landslides, Slope Stability, Underground Structures",3411,https://scholar.google.com/citations?hl=en&user=-oUsqQYAAAAJ,25,37
SANDHYA SINGH,"Indian Institute of Technology, Roorkee","Biotechnology, Tissue engineering, Polymer, Paper Technology",3397,https://scholar.google.com/citations?hl=en&user=IeMR_f8AAAAJ,22,77
B Venkata Manoj Kumar,"Professor, Metallurgical and Materials Engineering, IIT Roorkee","Ceramics, Tribology, Microstructure",3388,https://scholar.google.com/citations?hl=en&user=5UXTiBEAAAAJ,30,69
Prof Ankit Agarwal,Indian Institute of Technology Roorkee,"Hydro-climatology and Extreme Events, Monsoon, Climate Change, Machine Learning and Complex Network",3360,https://scholar.google.com/citations?hl=en&user=1UH7AfkAAAAJ,35,72
Yogendra Singh,"Professor, Department of Earthquake Engineering, IIT Roorkee","Structural Engineering, Earthquake Engineering, Reinforced Concrete, Seismic Vulnerability, Seismic Risk",3316,https://scholar.google.com/citations?hl=en&user=bkR4wHsAAAAJ,34,89
Prof. Praveen Kumar,"Deputy Director, IITR and Professor & Ex Head, Civil Engg., IIT Roorkee, (Ex Director, NIT …","Rural Roads, Bituminous Binders, Warm Mix Asphalt, Modified Binders, Reclaimed Asphalt Pavement",3296,https://scholar.google.com/citations?hl=en&user=s8uuUxkAAAAJ,28,61
Kaushik Ghosh,"Professor, IIT Roorkee","Coordination Chemistry, Inorganic biochemistry",3269,https://scholar.google.com/citations?hl=en&user=QEd2fYEAAAAJ,30,93
Siva Mohan Reddy,"Associate Professor, Indian Institute of Technology, Roorkee, India","renewable fuels, Supercritical fluids, Waste Incineration etc.",3259,https://scholar.google.com/citations?hl=en&user=LwOrbKUAAAAJ,27,46
GN Pillai,"Professor, Department of Electrical Engineering, IIT Roorkee","Artificial Neural Networks and Learning …, Fuzzy Logic, Intelligent Control, Control Application in Power Systems",3259,https://scholar.google.com/citations?hl=en&user=5rz79-AAAAAJ,25,43
Brijesh Kumar Yadav,"Professor & Former Head, Department of Hydrology, IIT Roorkee","Groundwater modeling, Bioremediation, Phytoremediation, Plant water uptake, ANN",3258,https://scholar.google.com/citations?hl=en&user=ct4MOYEAAAAJ,34,68
Manoj Tripathy,IIT Roorkee,"AI application in Power System Protection & …, Numerical/Digital Relays, Cyber Security",3235,https://scholar.google.com/citations?hl=en&user=BKb2YKkAAAAJ,30,77
Rahul S Mulik,"Professor, MIED, IIT Roorkee, India","superfinishing, machining (Conventional & NTM), Rapid prototyping, FSW/FSP, MMC&Coating",3224,https://scholar.google.com/citations?hl=en&user=3FvUR1cAAAAJ,34,60
Zulfequar Ahmad,"Professor of Civil Eng., IIT Roorkee, India","Channel and Fluvial Hydraulics, River Engineering, Hydraulic Structures",3218,https://scholar.google.com/citations?hl=en&user=k1W_nvcAAAAJ,36,86
Dr. Shiv Prasad Yadav,"Professor (Retired), Deptt. of Mathematics, IIT Roorkee, Roorkee-247667, India","Operations Research, Fuzzy Data Envelopment Analysis, Fuzzy Reliability, Optimal Control Theory",3212,https://scholar.google.com/citations?hl=en&user=Rt8Ad7gAAAAJ,33,61
Amit Kumar Dhiman,"Professor, Department of Chemical Engineering, Indian Institute of Technology Roorkee","Computational Fluid Dynamics (CFD), Non-Newtonian Fluid Flow and Heat Transfer, Bluff Body Flow",3165,https://scholar.google.com/citations?hl=en&user=2_LJAowAAAAJ,30,68
Dr. Saugata Hazra,"Professor, Indian Institute of Technology Roorkee (IITR)",AMR · Ser and metallo-β-lactamase …,3128,https://scholar.google.com/citations?hl=en&user=SMMGjyUAAAAJ,33,61
Rajesh Kumar Ulaganathan,"Asst. Professor Gr.-I @IITR. Prior: Res.Specialist @AS. Postdocs @DTU,NTU. Ph.D. @NTU …","Two-Dimensional (2D) Materials, Perovskites, Opto-electronics, Flexible Devices and Sensors.",3118,https://scholar.google.com/citations?hl=en&user=G0n3Pg8AAAAJ,24,34
JKNAYAK,"Professor, Management Studies, IIT Roorkee","B2B Marketing, Pricing, Sustainable marketing",3109,https://scholar.google.com/citations?hl=en&user=FhCTN0kAAAAJ,27,41
B. Parkash,Professor retired from IIT Roorkee,"Sedimentology, Geomorphology",3062,https://scholar.google.com/citations?hl=en&user=RMgAig8AAAAJ,30,45
Arup Kumar Das,"Department of Mechanical and Industrial Engineering, IIT Roorkee","Two Phase Flow, Microfluidics, Fire Dynamics",3042,https://scholar.google.com/citations?hl=en&user=ovt0bKgAAAAJ,28,81
Naveen Kumar Navani,"Professor, Chemical Biology Group, Indian Institute of Technology, Roorkee, India","biosensors, probiotics, nanobiotechnology",3026,https://scholar.google.com/citations?hl=en&user=_P3g6ZMAAAAJ,28,46
Dr. Debasis Banerjee,"Indian Institute of Technology Roorkee (IITR), Roorkee","Organic Synthesis, Non-precious metal catalysis, Enantioselective Synthesis, Sustainable Catalysis",3025,https://scholar.google.com/citations?hl=en&user=PZpEqZ8AAAAJ,34,49
Govinda Mishra,"Professor of WRDM , IIT ROORKEE","Ground Water, Seepage, Drainage Engineering",2993,https://scholar.google.com/citations?hl=en&user=iOUhQs4AAAAJ,26,67
Rajesh Srivastava,"Professor of Physics, Indian Institute of Technology Roorkee",Atomic and Molecular Physics,2985,https://scholar.google.com/citations?hl=en&user=96RE14YAAAAJ,26,87
Neetesh Kumar,"Associate Professor, IIT Roorkee","Cloud Computing, AI, Autonomous Driving, Cyber Physical Systems, Intelligent Transportation Systems",2982,https://scholar.google.com/citations?hl=en&user=Ut_l01AAAAAJ,28,62
Manish Mishra,"Professor, Mechanical & Industrial Engineering Department, Indian Institute of technology …","Heat Transfer Enhancement, Heat exchangers, Solar Thermal, Solid desiccant cooling, Optimization of thermal systems",2978,https://scholar.google.com/citations?hl=en&user=r4CJ-_kAAAAJ,28,46
Rama Krishna Peddinti,"Professor, Department of Chemistry, Indian Institute of Technology Roorkee","Organic Chemistry, Asymmetric Synthesis",2978,https://scholar.google.com/citations?hl=en&user=8dTD1RwAAAAJ,29,86
Udai Singh,"Department of Chemistry, IIT Roorkee",Inorganic Chemistry,2962,https://scholar.google.com/citations?hl=en&user=mjf3A0UAAAAJ,30,101
Dr.(Mrs.)Shashi Kumar,"Former Professor, Department of Chemical Engg., IIT Roorkee","Modelling and Simulation of Chemical …, Transfer Processes, Computer Aided Process and Plant Design, Membrane Processes",2946,https://scholar.google.com/citations?hl=en&user=s2euakQAAAAJ,25,38
Gajanan Chaudhari,"Professor of Metallurgical and Materials Eng, Indian Institute of Technology Roorkee India","corrosion, metallic materials",2919,https://scholar.google.com/citations?hl=en&user=owRCTzUAAAAJ,29,50
CP Gupta,"Professor, Indian Institute of Technology, Roorkee",Power Systems,2828,https://scholar.google.com/citations?hl=en&user=JC-bC4MAAAAJ,28,55
varun sharma,Indian Institute of Technology Roorkee,"Conventional and Non conventional …, Rapid Prototyping and its applications",2813,https://scholar.google.com/citations?hl=en&user=TvwWrhcAAAAJ,29,62
Satendra Kumar,"Student, IIT Roorkee",Microfluidics,2809,https://scholar.google.com/citations?hl=en&user=76Bz5msAAAAJ,19,79
Sateesh Kumar Peddoju,"Indian Institute of Technology Roorkee, India","Cyber Security, Internet of Things, Edge Computing, Cloud Computing",2809,https://scholar.google.com/citations?hl=en&user=iMMhgycAAAAJ,27,49
Anil Kumar,Indian Institute of Technology Roorkee,Nanotechnology,2763,https://scholar.google.com/citations?hl=en&user=m1baGBcAAAAJ,29,66
Ram Prakash Bharti,"Professor, Department of Chemical Engineering, IIT Roorkee","Fluid Dynamics, Microfluidics, Rheology, Electrokinetic Flows, Heat Transfer",2739,https://scholar.google.com/citations?hl=en&user=vsLU3tcAAAAJ,27,41
"Navneet Arora, Ph.D.","Professor (HAG), IIT Roorkee","Welding Processes, Coatings, Fracture Behaviour, Reliability",2736,https://scholar.google.com/citations?hl=en&user=LxUHx1oAAAAJ,31,68
Nikhil Saboo,"Associate Professor, Indian Institute of Technology, Roorkee","Pavement Materials, Design and Analysis",2724,https://scholar.google.com/citations?hl=en&user=BJNX6_gAAAAJ,28,57
Ravita Lamba,"Assistant Professor, Indian Institute of Technology Roorkee","Solar Energy, Modeling and Simulation of Energy Systems, Battery & Fuel cell, Radiative Cooling",2692,https://scholar.google.com/citations?hl=en&user=EtgoscMAAAAJ,26,52
Jatin Bedi,Indian Institute of Technology Roorkee,"Data Mining, Machine Learning, Time Series, Predictive Analytics, Big Data",2684,https://scholar.google.com/citations?hl=en&user=IBWqXUUAAAAJ,22,35
Purshottam Agrawal,Indian Institute of Technology,"Approximation Theory, Quantum Calculus, Complex Approximation",2674,https://scholar.google.com/citations?hl=en&user=U_R6OxgAAAAJ,27,86
Pankaj Agarwal,"Department of Earthquake Engineering, Indian Institute of Technology Roorkee","Earthquake Engineering, Structural Engineering",2661,https://scholar.google.com/citations?hl=en&user=S3kPnYUAAAAJ,22,45
Debabrata Sircar,Professor; Biosciences and Bioengineering Department; Indian Institute of Technology …,"Plant Metabolomics, functional genomics, SMART cell technology, plant natural product biotechnology",2653,https://scholar.google.com/citations?hl=en&user=vHNED8gAAAAJ,30,68
SARADA PRASAD PRADHAN,"Indian Institute of Technology Roorkee, India","Rock Mechanics, Engineering Geology, Geo-Mechanics, Reservoir Geology",2640,https://scholar.google.com/citations?hl=en&user=rTC50K4AAAAJ,30,48
SANJAY KUMAR,"PhD, Mechanical & Industrial Engineering Deptt., Indian Institute of Technology Roorkee","Manufacturing, Investment Casting, Wax Pattern, Ceramic Shell, Microstructure",2614,https://scholar.google.com/citations?hl=en&user=9N2f_C4AAAAJ,19,57
Mahendra Singh,"Emeritus Fellow, Department of Civil Engineering, IIT Roorkee, Roorkee-247667, INDIA",Engineering behaviour of jointed rocks and …,2608,https://scholar.google.com/citations?hl=en&user=KDXk_jEAAAAJ,22,32
