Name,Affiliation,Interests,Cited By,Profile URL
Shyam Nandan,"Assistant Professor, IIT Kanpur","Seismic Hazard, Complex Networks, Pattern Recognition, Prediction",1137.0,https://scholar.google.com/citations?hl=en&user=rV6vXRMAAAAJ
Sagar Chakraborty,"Professor, Department of Physics, IIT Kanpur, India","Game Theory, Nonlinear Dynamics, Evolution",1124.0,https://scholar.google.com/citations?hl=en&user=DuVob_wAAAAJ
Urbi Chatterjee,"Assistant Professor, CSE, IIT Kanpur and Alumni, SEAL, IIT Kharagpur","Hardware Security, AI/ML Reliability, PUFs, Side Channel Analysis, Approximate Computing",1124.0,https://scholar.google.com/citations?hl=en&user=tb-hEXAAAAAJ
Suvendu Samanta,"Indian Institute of Technology (IIT) Kanpur, India","Power Electronics, Wireless Power, Electric Vehicle",1113.0,https://scholar.google.com/citations?hl=en&user=XG7GFDsAAAAJ
Amit Mitra,"Professor, Department of Mathematics & Statistics, IIT Kanpur","Signal Processing, Artificial Intelligence",1112.0,https://scholar.google.com/citations?hl=en&user=QT2tHOgAAAAJ
Devendra Mani,"Assistant Professor, IIT Kanpur","Infrared Spectroscopy, Microwave Spectroscopy, Laser spectroscopy, Helium Droplets, Non-covalent Interactions",1105.0,https://scholar.google.com/citations?hl=en&user=jLxchPcAAAAJ
shafi qureshi,indian institute of technology kanpur,"Semiconductor Device Physics and Modeling, Circuit Design",1099.0,https://scholar.google.com/citations?hl=en&user=Y6WFC0cAAAAJ
K. Vasudevan,Professor Dept of EE IIT Kanpur,Communications and signal processing,1098.0,https://scholar.google.com/citations?hl=en&user=_ZspaA8AAAAJ
Dr. Ashiq Hussain Pandit,"Postdoctoral Fellow at Department of Biological sciences and Bioengineering, IIT Kanpur","Biopolymers, Hydrogels, drug delivery, tissue engineering, Wound Healing",1095.0,https://scholar.google.com/citations?hl=en&user=9kYipvkAAAAJ
Venkata Jayasurya Yallapragada,Indian Institute of Technology Kanpur,"nanophotonics, optical microscopy, optical spectroscopy",1094.0,https://scholar.google.com/citations?hl=en&user=mb84nLQAAAAJ
Adhip Agarwala,Assistant Professor at Indian Institute of Technology Kanpur,Condensed Matter Physics,1091.0,https://scholar.google.com/citations?hl=en&user=E8RQ_p8AAAAJ
Kumar Ravi Priya,"Professor of Psychology, Indian Institute of Technology Kanpur","Disaster Mental Health, Qualitative Research",1085.0,https://scholar.google.com/citations?hl=en&user=ZmdCy64AAAAJ
Mohd Aamir Khan,IIT Kanpur,"Image Retrieval, Image Salience, Video Processing, Web Crawling",1071.0,https://scholar.google.com/citations?hl=en&user=DSkEGYYAAAAJ
Anubha Goel,"indian institute of technology kanpur, kanpur, india","IEQ management, thermal comfort and productivity, ventilation and energy demand, exposure and health, transportation emission fa",1065.0,https://scholar.google.com/citations?hl=en&user=iI6-xT0AAAAJ
Preetam Mohite,"Department of Aerospace Engineering, Indian Institute of Technology Kanpur","Composites, Damage Mechanics, Stealth Technology, Inflatable Structures",1063.0,https://scholar.google.com/citations?hl=en&user=wRZt0nYAAAAJ
Sivasurender Chandran,"Department of Physics, Indian Institute of Technology, Kanpur","Polymer physics, Soft condensed matter physics, Instabilities at fluid interfaces",1060.0,https://scholar.google.com/citations?hl=en&user=VRqIda4AAAAJ
Manabendra Chandra,"Professor, IIT Kanpur","Physical Chemistry, spectroscopy, nanoscience, plasmonics, biophysics",1041.0,https://scholar.google.com/citations?hl=en&user=GMmneWUAAAAJ
Bhuvana T,Indian Institute of Technology Kanpur,,1036.0,https://scholar.google.com/citations?hl=en&user=eMCWKw0AAAAJ
Devkinandan  Chaurasiya,Indian Institute of Technology Kanpur,"Metamaterial Absorber, Microwave Absorber",1023.0,https://scholar.google.com/citations?hl=en&user=7QPDNZQAAAAJ
Supratik Banerjee,"Associate Professor, Indian Institute of Technology, Kanpur","Plasma astrophysics, solar wind, turbulence in ferrofluids, turbulence & relaxation in binary fluids",1012.0,https://scholar.google.com/citations?hl=en&user=L48LhZkAAAAJ
Sudarshan Narayanan,Indian Institute of Technology Kanpur,"Solid state batteries, transparent conductors, photovoltaics, energy harvesting, solid state devices",1009.0,https://scholar.google.com/citations?hl=en&user=eN7WOWoAAAAJ
