Name,Affiliation,Interests,Cited By,Profile URL
Mahendra Singh,"Emeritus Fellow, Department of Civil Engineering, IIT Roorkee, Roorkee-247667, INDIA",Engineering behaviour of jointed rocks and …,2609,https://scholar.google.com/citations?hl=en&user=KDXk_jEAAAAJ
Soniya Singh,"IIT, Roorkee","Control Theory, Dynamic system, Differential Equations",2570,https://scholar.google.com/citations?hl=en&user=cQRu0CQAAAAJ
Bal Krishna Maheshwari,"Professor of Earthquake Engineering, IIT Roorkee","Geotechnical Earthquake Engineering, Soil-Structure Interaction, Liquefaction, Dynamic Soil Properties, Pile Foundations",2552,https://scholar.google.com/citations?hl=en&user=W5QDUAcAAAAJ
Dr. Sanjoy Ghosh,"Head, Department of Biosciences and Bioengineering, Professor, Biochemical Engineering …","Biochemical/Bioprocess Engineering, Biofuel and Enzyme Production, Process Scale-up",2546,https://scholar.google.com/citations?hl=en&user=iWHCLtEAAAAJ
Ashwani Kumar Sharma,"Department of Biosciences and Bioengineering, IIT Roorkee, India",Protein Biochemistry and Biophysics,2545,https://scholar.google.com/citations?hl=en&user=lxTF46UAAAAJ
Pravendra Singh,"Assistant Professor, IIT Roorkee","Deep Learning, Machine Learning, Computer Vision, Artificial Intelligence",2490,https://scholar.google.com/citations?hl=en&user=YwDTxJMAAAAJ
Srikrishnan Siva Subramanian,"Assistant Professor, Disaster Mitigation and Management, Indian Institute of Technology …","Landslides, Debris flows, Spatio temporal modeling, Rainfall thresholds, Early warning systems",2470,https://scholar.google.com/citations?hl=en&user=hxypt0AAAAAJ
Dr. Rajendra Prasad,"Professor, Department of Electrical Engg., Indian Institute of Technology Roorkee","Control System, Model Order Reduction",2434,https://scholar.google.com/citations?hl=en&user=rPxFSHcAAAAJ
PC Srivastava,"IIT, Roorkee",Nuclear Physics,2420,https://scholar.google.com/citations?hl=en&user=o3E2obIAAAAJ
Pushparaj Mani Pathak,"Professor, Mechanical & Industrial Engineering Department, IIT Roorkee","Robotics, Dynamics, Control, Artificial Intelligence, Bond Graph Modelling",2406,https://scholar.google.com/citations?hl=en&user=cTcZwhcAAAAJ
