Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
Manjunatha Mahadevappa,"Professor at School of Medical Science & Technology, IIT Kharagpur-721302, India","Bioinstrumentation, Neural / Retinal Prosthesis, Bio-signals & Image Processing, FES for Stroke & CP Children, NeuroRehabilitati",4691,https://scholar.google.com/citations?hl=en&user=k0MoQ9UAAAAJ,31.0,79.0
Pranab K Dutta,"Professor of Electrical Engineering, IIT Kharagpur","Image Processing, Optical imaging, Pattern Recognition, biomedical signal and image processing",4658,https://scholar.google.com/citations?hl=en&user=7elWBjEAAAAJ,30.0,89.0
Samrat Ganguly,"Student of VGSOM, IITKGP","Management, Business Analytics",4642,https://scholar.google.com/citations?hl=en&user=cMyKnSwAAAAJ,35.0,64.0
Ashok Mishra,"Agricultural and Food Engineering Department; Indian Institute of Technology, Kharagpur","Watershed hydrology, Crop modelling, Climate change analysis and applications in …",4605,https://scholar.google.com/citations?hl=en&user=-bzKMXYAAAAJ,35.0,69.0
Partha Saha,"Professor of Mechanical Engineering, Indian Institute of Technology Kharagpur INDIA","Manufacturing Processes, Additive manufacturing, Non-traditional Manufacturing, Micro Manufacturing, Laser Material Processing",4587,https://scholar.google.com/citations?hl=en&user=-z0vhDwAAAAJ,38.0,82.0
Amiya Jana,"Chemical Engineering, Indian Institute of Technology Kharagpur","Energy and Fuels, Water, Control System, Process Intensification",4551,https://scholar.google.com/citations?hl=en&user=ADjo_xgAAAAJ,37.0,106.0
"Amreesh Chandra, FRSC","Professor, Department of Physics, Indian Institute of Technology, Kharagpur","Supercapacitors, Batteries, Condensed Matter Physics, Nanomaterials, Carbon Footprint",4524,https://scholar.google.com/citations?hl=en&user=PAA1dSEAAAAJ,36.0,98.0
Syamalendu Sekhar Bandyopadhyay,"Professor of Cryogenic Engineering Center, Indian Institute of Technology Kharagpur","Carbon dioxide capture and sequestration, vortex tube air separation",4501,https://scholar.google.com/citations?hl=en&user=m83WrgkAAAAJ,35.0,58.0
Prof.PBS Bhadoria,"Agricultural and Food Engineering Department, IIT Kharagpur",Soil Science and Plant Nutrition,4416,https://scholar.google.com/citations?hl=en&user=7ldqPLEAAAAJ,33.0,65.0
Peeyush soni,"Professor of Agricultural & Food Engineering, Indian Institute of Technology","Sustainable agricultural mechanization, Off-road vehicle traction mechanics, Energy analysis of",4408,https://scholar.google.com/citations?hl=en&user=VCQFMoUAAAAJ,36.0,100.0
Dipakranjan Mal,"Professor of chemistry, Indian institute of technology",organic chemistry synthesis,4361,https://scholar.google.com/citations?hl=en&user=3pJ-xWsAAAAJ,33.0,83.0
Debalay Chakrabarti,"Professor, Indian Institute of Technology Kharagpur","Microstructure, Mechanical Properties, Metals",4347,https://scholar.google.com/citations?hl=en&user=mz31gP8AAAAJ,37.0,98.0
Santanu Chattopadhyay,"Professor, Dept. of Electronics and Elec. Comm. Engg., Indian Institute of Technology …","VLSI, NoC, Testing, Hardware Security, Machine Learning for CAD",4317,https://scholar.google.com/citations?hl=en&user=YxNMDbIAAAAJ,31.0,95.0
Venimadhav Adyam,"Cryogenic Engineering Centre, IIT Kharagpur","Condensed Matter, Spintronics, Multiferroics, Epitaxial thin films, Na ion Batteries",4312,https://scholar.google.com/citations?hl=en&user=SynU4z0AAAAJ,36.0,96.0
Abhijit Bhattacharya,"Professor (Retired) of Geology and Geophysics, Indian Institute of Technology Kharagpur …","Petrology, Geochemistry, Tectonics, Structural Geology, Geochronology",4295,https://scholar.google.com/citations?hl=en&user=6GLL3p0AAAAJ,32.0,64.0
Sudeshna Sarkar,"IIT Kharagpur, Department of Computer Science & Engineering","Natural Language Processing, Machine Learning, Artificial Intelligence, Recommender Systems",4242,https://scholar.google.com/citations?hl=en&user=AwP_bbsAAAAJ,36.0,92.0
Prof. Soumen Das,"School of Medical Science and Technology, IIT Kharagpur, India","MEMS, BioMEMS, Microfluidics, Flexible Electronics, Bioimpedance",4225,https://scholar.google.com/citations?hl=en&user=lvtbTjoAAAAJ,35.0,100.0
Sushanta Kumar Panda,"Professor, Department of Mechanical Engineering, Indian Institute of Technology Kharagpur",Metal Forming,4196,https://scholar.google.com/citations?hl=en&user=UzqsYNcAAAAJ,37.0,86.0
Ranjit Bahadur,"Professor, Department of Biotechnology, IIT Kharagpur, India",Computational Biology,4182,https://scholar.google.com/citations?hl=en&user=jk6bcpAAAAAJ,28.0,43.0
JOYKRISHNA DEY,Indian Institute of Technology Kharagpur,"Molecular Self-assembly, Drug delivery",4171,https://scholar.google.com/citations?hl=en&user=BzFp_u4AAAAJ,39.0,105.0
Rajib Maity,"Professor, Department of Civil Engineering, Indian Institute of Technology Kharagpur","Hydroclimatology, Water Resources Engg., Climate Change, AI/ML, Probability and Statistics",4108,https://scholar.google.com/citations?hl=en&user=1dJv3gwAAAAJ,37.0,85.0
Prof. KN Tiwari,IIT Kharagpur,"Irrigation, Land and Water Resource Management, Micro-irrigation, Remote Sensing & GIS, Greenhouse",4060,https://scholar.google.com/citations?hl=en&user=5lMBxW0AAAAJ,31.0,73.0
Jayanta Ray,"Professor of Chemistry,IIT Kharagpur INDIA",Organic Chemistry,4027,https://scholar.google.com/citations?hl=en&user=ICriMvQAAAAJ,34.0,125.0
DIPANWITA ROYCHOWDHURY,"Professor of Computer Science, IIT Kharagpur","Cryptography, VLSI",4015,https://scholar.google.com/citations?hl=en&user=F_MRaWYAAAAJ,27.0,87.0
Sourav Mukhopadhyay,"Professor, Indian Institute of Technolgy Kharagpur","Cryptography, Network Security, Cyber Security, Post Quantum Cryptography, Blockchain",3957,https://scholar.google.com/citations?hl=en&user=ErhmrCwAAAAJ,31.0,85.0
Tarun Kanti Bhattacharyya,Professor of Electronics and Electrical Communication Engineering Indian Institute of …,"VLSI, MEMS, Nano Technology, Thin films, Analog and RF IC Design",3927,https://scholar.google.com/citations?hl=en&user=0iVsuAEAAAAJ,31.0,112.0
Debjani Chakraborty,"Professor, Department of Mathematics, Indian Institute of Technology Kharagpur","Optimization, Fuzzy logic & approximate reasoning, Fuzzy Geometry",3873,https://scholar.google.com/citations?hl=en&user=fyIXIa0AAAAJ,31.0,69.0
Partha Pratim Bandyopadhyay,IIT Kharagpur,"plasma spraying, LENS, thermal spraying, tribology",3810,https://scholar.google.com/citations?hl=en&user=bb8P0F4AAAAJ,39.0,97.0
Abhinav Kumar,"Junior Project Officer, IIT Kharagpur","Ergonomics, FMPE",3809,https://scholar.google.com/citations?hl=en&user=lxN_6XAAAAAJ,24.0,97.0
Amit Ghosh,Indian Institute of Technology Kharagpur,,3789,https://scholar.google.com/citations?hl=en&user=scPSfFcAAAAJ,29.0,49.0
Anandaroop Bhattacharya,IIT Kharagpur,"Heat Transfer, Fluid Mechanics, Electronic Packaging",3781,https://scholar.google.com/citations?hl=en&user=YToPmtYAAAAJ,21.0,43.0
Goutam Chakraborty,"Associate Professor, Department of Mechanical Engineering, Indian Institute of Technology …","Dynamics, Vibration, Control",3693,https://scholar.google.com/citations?hl=en&user=gSZnQGoAAAAJ,32.0,85.0
Pradip Kumar Ray,"Professor of Industrial Engineering, IIT Kharagpur","Industrial Engineering, Quality Engineering and Management, Process Optimization, Productivity, Ergonomics",3685,https://scholar.google.com/citations?hl=en&user=ejDd6-AAAAAJ,25.0,50.0
Ashis K Datta,IIT Kharagpur,Food process Engineering,3679,https://scholar.google.com/citations?hl=en&user=q4kFndUAAAAJ,28.0,68.0
Nikita Dewangan,Assistant Professor at IIT Kharagpur,"Catalysis, Catalytic Membrane Reactors, Hydrogen Membrane",3675,https://scholar.google.com/citations?hl=en&user=hrhT8KUAAAAJ,31.0,36.0
Mira Mitra,Indian Institute of Technology Kharagpur,"structural health monitoring, wave propagation, wavelet",3630,https://scholar.google.com/citations?hl=en&user=JdQQa74AAAAJ,30.0,52.0
Prof Biplab Datta,"Associate Professor, Vinod Gupta School of Management, Indian Institute of Technology …",Marketing  Leadership,3590,https://scholar.google.com/citations?hl=en&user=nXeL8q8AAAAJ,29.0,44.0
Karabi Biswas,"Professor, Indian Institute of Technology Kharagpur","Sensor, Instrumentation, Fractional order element",3559,https://scholar.google.com/citations?hl=en&user=opPdSwkAAAAJ,30.0,62.0
Mrinal K. Maiti,"Professor of Biotechnology, Indian Institute of Technology Kharagpur","Plant biotechnology, Metabolic engineering, Lipid metabolism, Functional genomics of rice",3554,https://scholar.google.com/citations?hl=en&user=rQEWgXIAAAAJ,36.0,69.0
Dewashish Upadhyay,"Department of Geology and Geophysics, Indian Institute of Technology, Kharagpur","Geochemistry, Geochronology, Petrology, Crustal Evolution, Cosmochemistry",3552,https://scholar.google.com/citations?hl=en&user=Kg7v_G4AAAAJ,32.0,75.0
Binny Mathew,PhD student at Indian Institute of Technology Kharagpur,"Natural Language Processing, Computational Social Science, Machine Learning",3477,https://scholar.google.com/citations?hl=en&user=xQ10A7YAAAAJ,19.0,22.0
Prof. P. Guha,"Professor    Agricultural and Food Engineering Department, Indian Institute of Technology …","Agronomy, Post harvest Technology, Weed Management, Water Management, Forest Management & Food Laws",3464,https://scholar.google.com/citations?hl=en&user=PlyEwuwAAAAJ,28.0,44.0
Prof. Amita Pathak,"Professor of Chemistry, Indian Institute of Technology Kharagpur","Nanomaterials, Catalysis, Sensors, Drug Delivery",3426,https://scholar.google.com/citations?hl=en&user=MaHH4pkAAAAJ,35.0,63.0
Sankha Mukherjee,IIT Kharagpur,"Computational Materials, Semiconductors, 2D Materials, Energy Storage, Battery",3425,https://scholar.google.com/citations?hl=en&user=nh5cO04AAAAJ,27.0,37.0
Partha Sarathi Ghosal,"Assistant Professor, School of Water Resources, IIT Kharagpur","Water and Wastewater Treatment, Faecal sludge management, Adsorption, Optimization, Modelling",3421,https://scholar.google.com/citations?hl=en&user=daLjp2cAAAAJ,26.0,39.0
Debasis Samanta,"Professor, Computer Science & Engineering, Indian Institute of Technology Kharagpur","Human Computer Interaction, Computational Intelliegnce, Bio-crypto System, Data Analytics",3393,https://scholar.google.com/citations?hl=en&user=RctLVqcAAAAJ,32.0,99.0
Prof. Arun Chakraborty FRMetS,"Professor and Former Head of CORAL, Indian Institute of Technology Kharagpur","Oceanography, Atmospheric Science",3366,https://scholar.google.com/citations?hl=en&user=J18CH9AAAAAJ,31.0,81.0
Jitendra Mahakud,IIT Kharagpur,"Corporate Finance, Behavioural Finance, Financial Markets, Commercial Banking, Corporate Governance",3341,https://scholar.google.com/citations?hl=en&user=6UuLVsMAAAAJ,31.0,65.0
Ratna Dutta,"Professor, Indian Institute of Technology Kharagpur","Cryptography, Cyber Security, Post Quantum Cryptography, Financial Cryptography",3341,https://scholar.google.com/citations?hl=en&user=07TPPLsAAAAJ,27.0,73.0
Arindam Basu,"Professor, Department of Geology & Geophysics, Indian Institute of Technology Kharagpur",Engineering Geology and Rock Mechanics,3341,https://scholar.google.com/citations?hl=en&user=9ZUWc7oAAAAJ,21.0,25.0
Dillip Kumar Swain,"Professor, Indian Institute of Technology Kharagpur, India","Agricultural Adaptations to Climate Change, Sustainable & Precision Agriculture, Crop Modeling and Simulation, Organic Farming",3322,https://scholar.google.com/citations?hl=en&user=Kom3ossAAAAJ,29.0,78.0
Dibakar Dhara,"Professor, Department of Chemistry, Indian Institute of Technology Kharagpur","Physical Chemistry of Macomolecules, Synthetic Polymer Chemistry, Colloids and Nanomaterials",3318,https://scholar.google.com/citations?hl=en&user=QZiI-c4AAAAJ,30.0,74.0
Debaprasad Kastha,"Professor of Electrical Engineering, IIT Kharagpur","Power Electronics, Drives, Wind Power",3292,https://scholar.google.com/citations?hl=en&user=pXTb_fwAAAAJ,25.0,62.0
Indranil Sengupta,"Professor of Computer Science and Engineering, Indian Institute of Technology Kharagpur","Reversible and quantum computing, VLSI design and testing",3291,https://scholar.google.com/citations?hl=en&user=Nf46wucAAAAJ,30.0,89.0
Bhabagrahi Sahoo,"School of Water Resources, Indian Institute of Technology Kharagpur","Flood Hydrology, River Basin Management, Solute Transport",3271,https://scholar.google.com/citations?hl=en&user=9eGcRx8AAAAJ,31.0,68.0
Chenna Rao Borra,IIT-Kharagpur,"Extractive metallurgy, Critical Metals, Metal recycling, Sustainable metallurgy",3268,https://scholar.google.com/citations?hl=en&user=FEOdwQMAAAAJ,20.0,30.0
Abhijnan Chakraborty,"Assistant Professor, Computer Science & Engg., IIT Kharagpur","Responsible AI, Social Computing, Information Retrieval, AI for Social Good",3257,https://scholar.google.com/citations?hl=en&user=21oQO9oAAAAJ,25.0,48.0
Kaushal Kumar Bhagat,"Indian Institute of Technology, Kharagpur","Online learning, Augmented Reality, Virtual Reality, Flipped classroom, Formative Assessment",3245,https://scholar.google.com/citations?hl=en&user=zE9msuwAAAAJ,23.0,34.0
Mamata Jenamani,"Professor, IIT Kharagpur","E-Business, Decision modeling and Analytics",3168,https://scholar.google.com/citations?hl=en&user=9m9sxGcAAAAJ,29.0,68.0
Prof Prafulla Kumar  Behera,"Professor of Physics, Indian Institute of Technology Madras",Experimental High Energy Physics,288236,https://scholar.google.com/citations?hl=en&user=mScZ5g4AAAAJ,238.0,1538.0
Chandra Kant Mishra IITM,IIT Madras,Gravitational waves,133472,https://scholar.google.com/citations?hl=en&user=t_Vg41AAAAAJ,113.0,217.0
Mukesh Doble,"Distinguished Prof, Saveetha Dental college, Retd Prof IITM","Drug design, Biomaterials, Bioengineering",48407,https://scholar.google.com/citations?hl=en&user=Uywm3i4AAAAJ,76.0,284.0
Thalappil Pradeep,Indian Institute of Technology Madras,Molecular and nanoscale materials,47217,https://scholar.google.com/citations?hl=en&user=CKZsjjcAAAAJ,98.0,508.0
BS Murty,IIT Madras,Nano Materials,31928,https://scholar.google.com/citations?hl=en&user=2roOB5gAAAAJ,83.0,391.0
