Name,Affiliation,Interests,Cited By,Profile URL,h-index,i10-index
A Srinivasan,"Department of Physics, Indian Institute of Technology Guwahati","magnetic materials, glasses and glass-ceramics, nanomaterials, metallic alloys and thin films",3561,https://scholar.google.com/citations?hl=en&user=UjWU0YwAAAAJ,32,86
Hemant B Kaushik,Indian Institute of Technology Guwahati,"Structural Engineering, Earthquake Engineering",3534,https://scholar.google.com/citations?hl=en&user=9A0-RrMAAAAJ,28,50
Debasish Das,"Professor, IIT Guwahati","Bioprocess Development, Biochemical Engineering, Systems Biology",3506,https://scholar.google.com/citations?hl=en&user=90WhEswAAAAJ,30,69
Dipankar Bandopadhyay,"Professor, IIT Guwahati","Instability-Thin Film-Soft Matter, Microfluidics-Microrheology, Sensors-Biomedical Devices, Liquid Crystals",3502,https://scholar.google.com/citations?hl=en&user=or43e_kAAAAJ,33,101
Prateek,"Assistant Professor, School of Energy Science and Engineering, IIT Guwahati, India","Materials, Polymers, Dielectrics, Batteries, Energy storage/harvesting",3495,https://scholar.google.com/citations?hl=en&user=SW-QG1oAAAAJ,18,20
Sanjukta Patra,IIT Guwahati,"Enzyme and Microbial Technology, Diagnosis and therapeutics",3455,https://scholar.google.com/citations?hl=en&user=Gizuc5QAAAAJ,29,54
Dr. Sanjib Ganguly,"Associate Professor, Department of Electronics and Electrical Engineering (EEE), IIT …","Power system, Soft Computing, Power electronics applications to power …",3454,https://scholar.google.com/citations?hl=en&user=pZ3wQxUAAAAJ,32,69
Sandip Paul,"Professor, IIT Guwahati",Computational Chemistry and Biophysics,3442,https://scholar.google.com/citations?hl=en&user=JBj2ossAAAAJ,35,95
Konjengbam Darunkumar Singh,"Professor (HAG), Indian Institute of Technology Guwahati, FICE, FIE(India)","Fracture and Fatigue Mechanics, Steel Structures, Finite Element Method, Biomechanics, Seismic",3426,https://scholar.google.com/citations?hl=en&user=1TUkc20AAAAJ,29,85
Sudip Mitra,"Professor, School of Agro and Rural Technology, IIT Guwahati, Assam, India","Biofertilizer, biochar, greenhouse gas, soil quality, climate smart agriculture",3426,https://scholar.google.com/citations?hl=en&user=ByYRbmgAAAAJ,31,49
"Dr.AS Achalkumar, FRSC, FICS","Professor, Department of Chemistry, IIT Guwahati","Liquid crystals, SAMs, lipid bilayers, organic chemistry, organic electronics",3406,https://scholar.google.com/citations?hl=en&user=sxzyt94AAAAJ,34,81
Senthilmurugan Subbiah,Professor of chemical Engineering IIT Guwahati,"Modeling and Optimization of Novel …, Process Design and Operation of Membrane …, Waste and waste wat",3378,https://scholar.google.com/citations?hl=en&user=UvXKUnIAAAAJ,28,65
Srinivasan Natesan,"Professor of Mathematics, Indian Institute of Technology Guwahati","Numerical Schemes for Singular Perturbation …, Computational Finance, Big Data Analytics",3291,https://scholar.google.com/citations?hl=en&user=WPdTWisAAAAJ,32,80
Rakhesh Singh Kshetrimayum,"Professor, Dept. of EEE, IIT Guwahati, Fellow, IET (UK)","Passive Microwave Devices, Spatial Modulation, MIMO Antennas, Machine Learning, Deep Learning",3219,https://scholar.google.com/citations?hl=en&user=RecJ8mAAAAAJ,28,79
Anil K Saikia,"Department of Chemistry, Indian Institute of Technology Guwahati",Organic Chemistry,3176,https://scholar.google.com/citations?hl=en&user=R_2IFrQAAAAJ,31,86
Mohammad Qureshi,Indian Institute of Technology Guwahati,Materials Chemistry,3095,https://scholar.google.com/citations?hl=en&user=LA-T5PEAAAAJ,32,70
Sukhomay Pal,"Professor of Mechanical Engineering Department, IIT Guwahati",Manufacturing,3047,https://scholar.google.com/citations?hl=en&user=3u2qgMcAAAAJ,32,71
Subhash Thota,"Professor, Department of Physics, Indian Institute of Technology Guwahati","Magnetic Nanostructures, Laser Ablation, Interlayer coupling in multilayers, Magneto-transport properties, Optical properties",2974,https://scholar.google.com/citations?hl=en&user=vOjBt04AAAAJ,28,68
PS Robi,"Professor of Mechanical Engineering, Indian Institute of Technology Guwahati","materials, manufacturing, energy",2943,https://scholar.google.com/citations?hl=en&user=UV_TL4EAAAAJ,26,56
Saswati Chakraborty,Professor Indian Institute of Technology Guwahati,"Water treatment, wastewater treatment",2940,https://scholar.google.com/citations?hl=en&user=2JHltn8AAAAJ,28,55
DEBABRATA CHAKRABORTY,"Professor, Mechanical Engineering, Indian Institute of Technology Guwahati","FRP Composites, Computational Structural Mechanics, Fracture",2940,https://scholar.google.com/citations?hl=en&user=xrvZPdwAAAAJ,30,64
Neha Gupta,IIT guwahati,"bio-energy, biofuel, butanol production, solid waste",2939,https://scholar.google.com/citations?hl=en&user=XriQtEIAAAAJ,9,9
Payal Mazumder,Indian Institute of Technology Guwahati,"Environmental microbiology, Bioremediation, Antibiotic resistance, Solid waste management",2935,https://scholar.google.com/citations?hl=en&user=p7eNP38AAAAJ,25,33
Dr. Debabrata Sikdar,"Associate Professor, EEE Dept., IIT Guwahati;","Plasmonics & Metamaterials, Tunable Nanoplasmonic Metadevices, Metamaterials for MRI",2927,https://scholar.google.com/citations?hl=en&user=KeSASjMAAAAJ,29,65
Swarup Bag,Professor of IIT Guwahati,"Welding and Joining, Finite Element Model, Additive Manufacturing, Solidification",2891,https://scholar.google.com/citations?hl=en&user=xMEW5_0AAAAJ,30,77
Rishi Maiti,"Assistant Professor, Department of Physics, IIT Guwahati","2D materials, Integrated photonics, Strainoptronics, Quantum photonics, Optical interconnects",2885,https://scholar.google.com/citations?hl=en&user=yQQ2ll0AAAAJ,28,41
Amarendra Kumar Sarma,Indian Institute of Technology Guwahati,"Nonlinear Optics, Solitons, Quantum Optics",2882,https://scholar.google.com/citations?hl=en&user=9ZmF5ZEAAAAJ,29,65
Subashisa Dutta,"professor of civil engineering, IIT Guwahati",water resources engineering,2871,https://scholar.google.com/citations?hl=en&user=HSRALWQAAAAJ,30,75
