Name,Affiliation,Interests,Cited By,Profile URL
Shravani Rajan Rawool,Indian Institute of Technology Hyderabad,"Chemosensory system, signal transduction, Vibrio, evolution of multipartite chromosome",1802.0,https://scholar.google.com/citations?hl=en&user=xK5EHsYAAAAJ
Ashok Kumar Pandey,"Professor of mechanical and aerospace engineering, IIT Hyderabad","Non linear vibration, vehicle dynamics, MEMS",1795.0,https://scholar.google.com/citations?hl=en&user=IUXuuogAAAAJ
Mohammed Zafar Ali Khan,IIT Hyderabad,Wireless Communications,1787.0,https://scholar.google.com/citations?hl=en&user=CslVPp8AAAAJ
Syed Nizamuddin Khaderi,"Indian Institute of Technology, Hyderabad","computational solid mechanics, fluid-structure interaction",1764.0,https://scholar.google.com/citations?hl=en&user=WRWvLu0AAAAJ
Priyotosh Bandyopadhyay,Indian Institute of Technology Hyderabad,High Energy Particle Physics,1760.0,https://scholar.google.com/citations?hl=en&user=HCGzdpAAAAAJ
Pritha Chatterjee,IIT Hyderabad,,1710.0,https://scholar.google.com/citations?hl=en&user=aCIAFWsAAAAJ
Anindya Roy,"Professor, Indian Institute of Technology, Hyderabad","DNA repair, DNA Alkylation, AlkB, ALKBH3, ALKBH2",1681.0,https://scholar.google.com/citations?hl=en&user=VPIpc1AAAAAJ
Dibyananda Majhi,"National Postdoctoral Fellow, IIT Hyderabad","Heterogeneous catalysis, Photo/electro-catalysis, Energy Storage",1677.0,https://scholar.google.com/citations?hl=en&user=an1wsXYAAAAJ
Deepu J. Babu,"Assistant Professor, Materials Science and Metallurgical Engineering, IIT Hyderabad","nanoporous materials, chemical vapor deposition, gas separation, carbon capture",1671.0,https://scholar.google.com/citations?hl=en&user=gkTKAQcAAAAJ
Ranjith R,Indian Institute of Technology Hyderabad,multifunctional oxides and devices,1670.0,https://scholar.google.com/citations?hl=en&user=NtP7jtYAAAAJ
Himanshu Joshi,Indian Institute of Technology Hyderabad,"DNA Nanotechnology, Biophysics, Nanopores.",1656.0,https://scholar.google.com/citations?hl=en&user=dxM5IMUAAAAJ
Mohan Anand,"Professor, Chemical Engineering, Indian Institute of Technology Hyderabad","Cardiovascular Mechanics, Complex Fluids Rheology",1654.0,https://scholar.google.com/citations?hl=en&user=tPxg-DoAAAAJ
Krishan Kanhaiya,Indian Institute of Technology Hyderabad,Computational Chemistry,1652.0,https://scholar.google.com/citations?hl=en&user=rX0jLfMAAAAJ
Asif Qureshi,Indian Institute of Technology Hyderabad,"environmental chemistry, modeling, health, trace contaminants, mercury",1649.0,https://scholar.google.com/citations?hl=en&user=WjOAsO8AAAAJ
Rajakumara Eerappa,Indian Institute of Technology Hyderabad,"Structural Biology, Epigenetics, DNA repair and Protein Engineering",1642.0,https://scholar.google.com/citations?hl=en&user=HuGJeJQAAAAJ
Jaideep Adhikari,"Research Associate, Department of Biomedical Engineering, IIT Hyderabad","Functional biomaterials, 3D bioprinting, Electrospinning, Biocomposites",1626.0,https://scholar.google.com/citations?hl=en&user=vIZ3uQ8AAAAJ
Maunendra Sankar Desarkar,IIT Hyderabad,"Natural Language Progrssing, Information Retrieval, Recommender Systems, Machine Learning",1620.0,https://scholar.google.com/citations?hl=en&user=W8LJ-tEAAAAJ
Sk Zeeshan Ali,Indian Institute of Technology Hyderabad,"Hydrodynamics, turbulent flows, sediment transport",1577.0,https://scholar.google.com/citations?hl=en&user=vGN3OOQAAAAJ
Anupam Gupta,IIT Hyderabad,"Fluid Turbulence, Rheology, Developmental Biology, Morphogenesis",1575.0,https://scholar.google.com/citations?hl=en&user=k4uLOBwAAAAJ
Sayak Banerjee,Indian Institute of Technology Hyderabad,"Combustion, Chemical Kinetics, Energy",1565.0,https://scholar.google.com/citations?hl=en&user=cz5jkscAAAAJ
Suresh Kumar  Garlapati,"Assistant Professor, Indian Institute of Technology Hyderabad","Printed electronics, oxide semiconductors, organic semiconductors, sensors for healthcare and environmental …, memristo",1562.0,https://scholar.google.com/citations?hl=en&user=Or_ygS0AAAAJ
Dr. Saikumar Kayam,"PostDoc Fellow, Indian Institute of Technology(IITH) Hyderabad","Perception Stack, computer vision, Deep learning",1511.0,https://scholar.google.com/citations?hl=en&user=qZSrZckAAAAJ
Surajit Maity,Indian Institute of Technology Hyderabad,"Physical Chemistry, Spectroscopy",1429.0,https://scholar.google.com/citations?hl=en&user=M0yqQVQAAAAJ
Jai Prakash,"Department of Chemistry, Indian Institute of Technology Hyderabad, India","Solid State Chemistry, Inorganic Chemistry, and Materials chemistry",1418.0,https://scholar.google.com/citations?hl=en&user=FCpPtLkAAAAJ
Madhuri Panwar,Indian institute of technology Hyderabad,,1411.0,https://scholar.google.com/citations?hl=en&user=QGzAX8AAAAAJ
Archak Purkayastha,"Indian Institute of Technology, Hyderabad, India",Non-equilibrium quantum statistical physics,1407.0,https://scholar.google.com/citations?hl=en&user=FSe_W_EAAAAJ
Chandrasekhar Murapaka,Indian Institute of Technology Hyderabad,"Spintronic devices, Nanomagnetic Materials, Nanofabrication",1401.0,https://scholar.google.com/citations?hl=en&user=1uyt67oAAAAJ
