Name,Affiliation,Interests,Cited By,Profile URL
Paras,"Ph.D Scholar, Indian Institute of Technology Kharagpur","Energy harvesting, Nanotechnology, Fluid dynamics, Coatings, Surface modification",286,https://scholar.google.com/citations?hl=en&user=g-pe3fMAAAAJ
Dr. Flora Banerjee,"PMRF, Department of Chemistry, IIT Kharagpur","Porous organic polymer, H2O2 Production, Pollutant removal, Heterogeneous catalysis",285,https://scholar.google.com/citations?hl=en&user=ShKULIYAAAAJ
Abhishek Kumar Gupta,"Assistant Professor, IIT Kharagpur","Molecular Simulation, Molecular dynamics Simulations, Atomistic MD Simulations, Polyelectrolytes",284,https://scholar.google.com/citations?hl=en&user=iLWt3IkAAAAJ
Joydip Chaudhuri,"Assistant Professor, Indian Institute of Technology Kharagpur","Fluid Dynamics, Statistical Physics, Complex Fluids, Active Matter, Biophysics",284,https://scholar.google.com/citations?hl=en&user=PTNbeGAAAAAJ
Nand Kishor Kumar,"Research Scholar, Department of Metallurgical and Materials Engineering, IIT Kharagpur","Cryorolling, Oxidation, High Temperature Materials, Creep, Phase transformation",284,https://scholar.google.com/citations?hl=en&user=UfPgcAEAAAAJ
Siddhartha Satpathi,"Undergraduate Student, IIT Kharagpur",,283,https://scholar.google.com/citations?hl=en&user=Vh7P4soAAAAJ
D Pramanik,"Indian Institute of Technology, Kharagpur, Jadavpur University","Laser Material Processing, Wire Electro Discharge Machining, Additive Manufacturing",283,https://scholar.google.com/citations?hl=en&user=z3aQZVUAAAAJ
Dr. Bishnu Pada Bose,Indian Institute of Technology Kharagpur,Circular Economy and Resource Optimization,283,https://scholar.google.com/citations?hl=en&user=wY_l0I8AAAAJ
Shiladitya Dey,"Ph.D student, Indian Institute of Technology Kharagpur","Agricultural economics, Social science, Impact assessment",283,https://scholar.google.com/citations?hl=en&user=-cFoT3YAAAAJ
Korak Sarkar,"Assistant Professor, Mechanical Engineering, IIT Kharagpur","Vibration Analysis, Rotorcraft Mechanics, Inverse Problems, Vibration Control",282,https://scholar.google.com/citations?hl=en&user=VL3QDCoAAAAJ
Aghna Mukherjee,"Assistant Professor, Indian Institute of Technology Kharagpur, India","Composite structures, Smart materials, Finite Element Analysis, Nonlinear structural mechanics",282,https://scholar.google.com/citations?hl=en&user=oHtZlH0AAAAJ
Puspendu Sardar,"Research Scholar, IIT Kharagpur","CO2 Capture using MOFs, CO2 Conversion, Gas hydrate, Wastewater treatment, Azeotropic distillation",282,https://scholar.google.com/citations?hl=en&user=qXAOTasAAAAJ
Anirban Nandy,Indian Institute of Technology Kharagpur,"Resource Management, Entrepreneurship, Data Analytics, Artificial Intelligence, Rural & AgriBusiness",281,https://scholar.google.com/citations?hl=en&user=KsW7mTYAAAAJ
VIDHYA LALAN,"Postdoctoral Fellow, E&ECE IIT Kharagpur, India","Microwave absorbers, Polymer composites, Multiferroics",279,https://scholar.google.com/citations?hl=en&user=7QWwPFMAAAAJ
Rohan Sewani,"Indian Institute of Technology, Kharagpur","Supply Chain, Optimization, Operations Research",277,https://scholar.google.com/citations?hl=en&user=3HrGF6kAAAAJ
Animesh Chaturvedi,"IIT KGP; Alumni Indian Institutes IIT, IIIT; KCL, Alan Turing Institute; HLF Heidelberg, LINO …","Data Science and AI, Cloud Services, Systems Evolution, Big Data Analytics, System Analytics",276,https://scholar.google.com/citations?hl=en&user=QzIs9iYAAAAJ
RADHAPADA MANNA,Indian Institute of Technology Kharagpur,"Nanomaterials, Photocatalysis, CO2 capture & reduction, Electrocatalysis",276,https://scholar.google.com/citations?hl=en&user=W8jYbLEAAAAJ
Mainak Ghosh,"Research scholar, Department of Geology and Geophysics, IIT Kharagpur","Paleoclimatology, gas hydrates, benthic foraminifera, organic geochemistry",276,https://scholar.google.com/citations?hl=en&user=OxxKlcQAAAAJ
Dr. Shwetabh Srivastava,"Ph.D. Department of Mathematics, Indian Institute of Technology Kharagpur, India","Generalized inverse, Iteration methods, Matrix analysis",275,https://scholar.google.com/citations?hl=en&user=f0UZTtIAAAAJ
lakshmi vasudev kondeti,"Assistant Professor grade I, Department of Ocean Engineering and Naval Architecture, IIT …","Design Optimization, Marine Robotics and Control Algorithms",275,https://scholar.google.com/citations?hl=en&user=XYskUigAAAAJ
Dr. Subham Pal,Indian Institute of Technology Kharagpur,"Finite Element Analysis, Composite Structures, Optimization, Plate and Shells",275,https://scholar.google.com/citations?hl=en&user=UKYKG-QAAAAJ
Goutam Sen,"Associate Professor, Industrial and Systems Engineering, IIT Kharagpur","Combinatorial Optimization, Integer Programming, Large Scale Optimization",274,https://scholar.google.com/citations?hl=en&user=bJ6SDV0AAAAJ
ABHAY SINGH GOUR,"Associate Professor, Cryogenic Engineering Centre, IIT, Kharagpur, India","Cryogenic Engineering, Cryocooler, Superconductor Machines and Power System, Process Control and",274,https://scholar.google.com/citations?hl=en&user=EpJlHikAAAAJ
Subrata Bera,"Research Scholar, IIT Kharagpur",Computational Fluid Dynamics,272,https://scholar.google.com/citations?hl=en&user=ngNrq6sAAAAJ
Ritwik Ghoshal,"Assistant Professor, Indian Institute of Technology Kharagpur",Fluid Structure Interaction,272,https://scholar.google.com/citations?hl=en&user=2L6Xum4AAAAJ
Harshad Shrigondekar,"Assistant Professor, IIT Kharagpur",Fire and Industrial Safety,270,https://scholar.google.com/citations?hl=en&user=p_EIJa8AAAAJ
RAJARSHI BASU,"Research Scholar, IIT Kharagpur","nanoparticles, carbon dots, catalysis, sensing, fluorescence",270,https://scholar.google.com/citations?hl=en&user=d58vWxcAAAAJ
Namrata Gaikwad,"Assistant Professor, Department of Chemical Engineering, IIT Kharagpur","Gas Hydrates, Gas Separation, Energy Storage, CO2 Sequestartion, Desalination",268,https://scholar.google.com/citations?hl=en&user=nWrtNfUAAAAJ
Sreeja Nath Chowdhury,"Research scholar ,IIT Kharagpur","Polymer, Biocompatable polymer, Drug Delivery system, Superpramagnetic nanoparticles, magnetic",268,https://scholar.google.com/citations?hl=en&user=8k_cHDAAAAAJ
Ashwani Tyagi,"School of Energy Science and Engineering, IIT Kharagpur","Cathodes, Sodium ion batteries, Nanomaterials, Energy Storage Devices, Crystallography",267,https://scholar.google.com/citations?hl=en&user=4fIaFk4AAAAJ
Aishwarya Dash,"Indian Institute of Technology, Kharagpur, West Begal, India","Industrial Engineering, Supply Chain Management, Optimization Techniques",265,https://scholar.google.com/citations?hl=en&user=kr_RNoUAAAAJ
Gobinda Chandra Mohanty,IIT Kharagpur,"High entropy alloys, Materials Science, Supercapacitor",265,https://scholar.google.com/citations?hl=en&user=ryMdjnUAAAAJ
Surajit Murasingh,"CUTM, Odisha | IIT KGP, WB - India","Land-Atmosphere Interaction, Vegetation dynamics, Extreme Events",264,https://scholar.google.com/citations?hl=en&user=z0lsweUAAAAJ
Sahana V.,"Assistant Professor, Indian Institute of Technology Kharagpur","Hydro-climatic extremes, Hydrologic modeling, Drought risk assessment, Climate change impact",264,https://scholar.google.com/citations?hl=en&user=3apPWFUAAAAJ
Dr. Biswabhusan Bhuyan,"Assistant Professor (OES-I),Department of Higher Education,Government of Odisha,Ph.D (IIT …","Food Security, Banking, Financial Economics, Applied Econometrics",263,https://scholar.google.com/citations?hl=en&user=j64GoDYAAAAJ
Tamesh Halder,Indian Institute of Technology Kharagpur,"Signal Processing, Image processing, radar polarimetry, machine learning",263,https://scholar.google.com/citations?hl=en&user=e6mlYSsAAAAJ
Sudipta Dash,"M.Tech, IIT Kharagpur","RDNA Technology, Bacterial Biofilms, Biological Data Analysis, Systems Biology",263,https://scholar.google.com/citations?hl=en&user=l30YjgsAAAAJ
BINITA BORO,"IIT, Kharagpur",Perovskite Solar Cell,263,https://scholar.google.com/citations?hl=en&user=M2vFwfH4Ys4C
Dr. Subhrasankar Chatterjee,"Ph.D., IIT Kharagpur","Computational Neuroscience, Computer Vision",263,https://scholar.google.com/citations?hl=en&user=BuIEB3QAAAAJ
Dr. Anjali Khuntia,Indian Institute of Technology Kharagpur,"Food packaging, Encapsulation, Food Engineering",262,https://scholar.google.com/citations?hl=en&user=Pr-p9XYAAAAJ
Deepoo Meena,Research scholar at IIT kharagpur,"Food Authentication, Application of Spectroscopy, Machine learning, Process Modeling",260,https://scholar.google.com/citations?hl=en&user=XD1djycAAAAJ
Nagarjun Surulivel,IIT Kharagpur,"Power Electronic converters, Drives, Renewables",259,https://scholar.google.com/citations?hl=en&user=O8xZVjcAAAAJ
Raju Kumar,"Assistant Professor, Department of Geology and Geophysics, IIT Kharagpur","Radiation Physics, Dosimetry, Nuclear Methods and Instrumentation, Nuclear Geophysics",258,https://scholar.google.com/citations?hl=en&user=zFvnEaYAAAAJ
Pramit Roy,IIT Kharagpur,"Distributed Computing, Sensor Networks",258,https://scholar.google.com/citations?hl=en&user=WnUOYHgAAAAJ
